family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
c1_mlp64_v2,locus_ood,c0_v0,3,0.0005591767845065642,0.00016497653116988434,0.0278104524172044,-0.020417829905485612,0.006023967455652152,0.02781045241720464,-0.011136498235507183,0.005986264643669902,0.08431270425340182,-0.0050539508847838865,0.006762942200610847,0.32484239884182553
c1_mlp64_v2,sample_ood,c0_v0,3,-0.0017459887521422066,0.0007598577935501251,0.05772149448996035,0.05762669316729652,0.02377103525972643,0.052308396747460614,-0.012233930016427327,0.012886270900575475,0.2418275586818991,-0.005858676334958772,0.007398707964781615,0.30381020602900444
c1_mlp64_v3,double_ood,c0_v0,3,0.00071592754731867,0.00012197574866721172,0.009537610460978967,-0.026149241497764836,0.004455162146945399,0.009537610460979042,-0.018287270431240416,0.0037080509018487104,0.013429341391552678,-0.010422163534124914,0.0021303972356469182,0.013643468751699868
c1_mlp64_v3,in_distribution,c0_v0,3,-0.0004790062623695283,0.0004859126131138525,0.2298639851164602,0.015686418920323703,0.01596089997722917,0.2308150759801288,-0.033958127097614255,0.009959212145563636,0.02749397369446674,-0.021405189402122993,0.005349058621777319,0.020187709901521935
c1_mlp64_v3,locus_ood,c0_v0,3,0.0007150388602451171,0.00012109771784953263,0.00942577435795113,-0.026108991340154136,0.004421772637031246,0.009425774357951083,-0.020651900205154023,0.005425486961329604,0.022241104897042396,-0.014226994447542126,0.004408901378370252,0.03055254127540677
c1_mlp64_v3,sample_ood,c0_v0,3,-0.0006163234556010542,0.00020985339778560388,0.036540010804253446,0.02038984289610213,0.006742072844232762,0.03456641165685286,-0.032160180076220346,0.008642307691099086,0.023235707872729633,-0.016504310404495032,0.0034852649845397714,0.014541245787179403
c2_k4,double_ood,c0_v0,3,0.00022783037478020401,0.0002986187741526184,0.3172591883439113,-0.008321500566595752,0.010907045650539196,0.31725918834391076,-0.011635868358525,0.003379794308643263,0.026989649207882625,-0.006482725860682881,0.0010311468100531792,0.008328227255980845
c2_k4,in_distribution,c0_v0,3,0.00024914587711869174,0.0004212333550534255,0.41335261771052656,-0.008120141167156017,0.013820674747448828,0.41591903893620663,-0.020093029645759503,0.009125273976265755,0.06238645385137335,-0.010785911433968601,0.005854710986325973,0.08576781780114015
c2_k4,locus_ood,c0_v0,3,0.0002524929510737105,0.0002736747847002363,0.25114383482446634,-0.009219549649054878,0.009992984970505723,0.2511438348244655,-0.012584219965011245,0.004926019097355895,0.04746885141748403,-0.0076810214331501925,0.0030036336814358395,0.0473791191832039
c2_k4,sample_ood,c0_v0,3,0.00011778338465927296,0.00043296105773541274,0.683901916626724,-0.0040927863598175795,0.014591848223074702,0.6751131858993012,-0.019953069836851484,0.008172140573468455,0.05162374075913876,-0.010390467259890864,0.0030526900773999825,0.027587194679887277
c2_k4_v0,double_ood,c0_v0,3,0.00022783037478020401,0.0002986187741526184,0.3172591883439113,-0.008321500566595752,0.010907045650539196,0.31725918834391076,-0.011635868358525,0.003379794308643263,0.026989649207882625,-0.006482725860682881,0.0010311468100531792,0.008328227255980845
c2_k4_v0,in_distribution,c0_v0,3,0.00024914587711869174,0.0004212333550534255,0.41335261771052656,-0.008120141167156017,0.013820674747448828,0.41591903893620663,-0.020093029645759503,0.009125273976265755,0.06238645385137335,-0.010785911433968601,0.005854710986325973,0.08576781780114015
c2_k4_v0,locus_ood,c0_v0,3,0.0002524929510737105,0.0002736747847002363,0.25114383482446634,-0.009219549649054878,0.009992984970505723,0.2511438348244655,-0.012584219965011245,0.004926019097355895,0.04746885141748403,-0.0076810214331501925,0.0030036336814358395,0.0473791191832039
c2_k4_v0,sample_ood,c0_v0,3,0.00011778338465927296,0.00043296105773541274,0.683901916626724,-0.0040927863598175795,0.014591848223074702,0.6751131858993012,-0.019953069836851484,0.008172140573468455,0.05162374075913876,-0.010390467259890864,0.0030526900773999825,0.027587194679887277
c2_k4_v1,double_ood,c0_v0,3,0.00032632645705410815,9.094826577342502e-05,0.024927779835222496,-0.011919068297590743,0.003321883861599277,0.024927779835223565,-0.013052165565318371,0.008141020191540917,0.10890248664345081,-0.007741221924827735,0.0027872695341882785,0.0405998182581391
c2_k4_v1,in_distribution,c0_v0,3,0.00019518496423138096,0.0005181934270026246,0.5811071093032794,-0.006516903335139472,0.01692075011020417,0.5733787867968239,-0.019526984865819236,0.01380040347459266,0.13386076669187064,-0.01092605091144209,0.008790985728689076,0.16421846782713503
c2_k4_v1,locus_ood,c0_v0,3,0.0003047411670662412,9.908999664847276e-05,0.033483222881003645,-0.011127345567195412,0.0036181807846136244,0.03348322288100435,-0.012211272923536187,0.007664082087999615,0.11004957672003933,-0.007655001452329706,0.004878562228494668,0.1129126615139184
c2_k4_v1,sample_ood,c0_v0,3,0.00017433131908835392,0.0007349822612895065,0.721033831340527,-0.006135401329669128,0.024307122920823817,0.7046510142388207,-0.020821354914559758,0.01245618186955711,0.10146415856821533,-0.010572968002716935,0.005377937035512712,0.07647911723632451
c2_k4_v2,double_ood,c0_v0,3,0.00022735798061362714,0.0003092928386140556,0.3309131887673066,-0.00830424637769045,0.011296915673574666,0.3309131887673068,-0.01161063660696741,0.003359770683405321,0.026794919586490402,-0.006528758896723441,0.0010497971744089338,0.008508593018821904
c2_k4_v2,in_distribution,c0_v0,3,0.0002496708968294653,0.0004217871753095857,0.4130482208513153,-0.008137766860451276,0.013838583961389605,0.4155829883379545,-0.020089900366136854,0.009179439012088213,0.06307830092907345,-0.010810415961412042,0.005898309312048329,0.08654379789909139
