family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
pca1024_linear,in_distribution,baseline_linear,3,-0.0004591352631735518,0.00015460548974434262,0.03577992742268836,0.015025920053599595,0.005085369462811717,0.036124318995711384,0.014229477194721377,0.0006324757131383787,0.0006578998936020279,0.011487624420689624,0.0026288433901390314,0.017011949812147115
pca1024_linear,locus_ood,baseline_linear,3,0.00015385985194379947,0.00022152099181792708,0.3520597394965146,-0.005618052060304746,0.008088636826051578,0.3520597394965157,0.004404024555011506,0.00476907105554291,0.25083988506584093,0.0088062870064091,0.00118060213878833,0.0059377058825603995
pca1024_linear,sample_ood,baseline_linear,3,-0.0003276635472634464,0.00018403622269482701,0.09102537360941758,0.010809738902868182,0.006001389701118592,0.08920856971137099,0.013428047248087696,0.002774415404995568,0.01393300977672329,0.009005660800462204,0.0033390807167529013,0.04289775461761726
pca1024_mlp,double_ood,baseline_linear,3,0.0004639093937262029,0.00022620754742992143,0.07092641674424767,-0.016944282721151522,0.008262226825208618,0.07092641674424831,-0.004919307865683213,0.005586181788894447,0.2666990171970416,-0.004808569523499025,0.002872674806959716,0.10122312061626397
pca1024_mlp,in_distribution,baseline_linear,3,4.8553852337163604e-05,0.0006135907061958933,0.9035370557085843,-0.0015613370257315056,0.02004963925526477,0.9050555925607331,-0.00840620487236173,0.017065203471574752,0.4834274035342534,-0.003729585701763701,0.011146698613708135,0.6208141205301062
pca1024_mlp,locus_ood,baseline_linear,3,0.00044374672005014865,0.0002777331829331188,0.10953630047399379,-0.01620300645903287,0.01014117367773336,0.10953630047399379,-0.0038980389299894114,0.00811837531713345,0.4930912378726042,-0.0028076743616571864,0.006624311219937289,0.5392756402502565
pca1024_mlp,sample_ood,baseline_linear,3,0.00041352307001606717,0.00047034023954263586,0.26724670247943005,-0.013517899158525823,0.015456809765111656,0.2690452505711445,-0.011010474581400587,0.0117017019396746,0.24471806819014108,-0.005981300787795685,0.00520697902753291,0.18492312754257453
pca128_linear,double_ood,baseline_linear,3,0.0005150051238943555,9.592006815941629e-05,0.011366338843004304,-0.018810553397109946,0.003503478859245737,0.011366338843004059,-0.012548898211372506,0.010196222648325788,0.1667028714949549,-0.023291401968558906,0.0066325155469161845,0.025981097714041442
pca128_linear,in_distribution,baseline_linear,3,0.0003215548716438525,0.000568715451046065,0.43069562741311906,-0.010479067137914097,0.018522243200560947,0.4304573118252676,-0.020018150841405347,0.019231962505700268,0.21319088727212546,-0.03819252302602231,0.014898455327513502,0.04716343824826766
pca128_linear,locus_ood,baseline_linear,3,0.0005882405265551031,7.858222883951263e-05,0.005896079470123152,-0.02147906591886491,0.0028693583612470494,0.00589607947012338,-0.01579262995131488,0.012930218136093076,0.1686563941426967,-0.03138676204994809,0.009771134184072685,0.030819763130945442
